Name,Logo,Site,Funding Rounds,Location(s),Notes
Susa Ventures,337c863d13cb777d5f4ac64aa679b7c2.png (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/r3WvlwHP7zLId9qutSL8Jw/KXRtDK3PvU-ANKWTgZ3rKE7s5hXN7SwjZmTZM6GSsF04XbBFRJjVBqsU6MhrPIC-F45Z4k3sYkZmfOaxXzLgFMQKuArk8XnPPwCYY93kAJy-SUgYom1KGU7Qcy5ooMOa/yQKfUU27Qq66rcHKkMuY_4wBAKb5STWnzVfS8UPQGRI),http://www.susaventures.com/,"Susa Ventures II,Susa Ventures I","SF Bay Area/Silicon Valley,Los Angeles,""New York, NY""",
SV Angel,20e0740010dd063a306ed323780065b0.png (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/nwZf1Emto-oThHLhJ4v1nQ/VHmv0RXHZhbOmt92KjZ6CGczjVP1gOUJmZO0pNMvHDOHyIl3ittBqwPbdiA5EUXDsq-XncVkbUMRA6g3iYumtNxA8I23tuWe6EOvODwdW1sMGeWpduox3d80UwF6Uy_f/qYgHlCxAkXWpvnqGKvyKd7PdryjcuiPeTyL3JC-0-FE),http://svangel.com/,SV Angel IV,SF Bay Area/Silicon Valley,
Tandem Capital,p1yaroeydrsq1jn65rnn.jpg (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/xrf77oYzo0D7sjqIseFObQ/AsAQxW3PGB2wjc8v8gn5fz8eAEc4edfmKk2atzTFe99BoU9kYqRHwtSfzmK4MN0UF715yUwOc-zvhbxls9xIRI4tPJubhBReKfmVH9yEYkSE9U6_miZ6kXUvtG_ftdBA/7z4uZna2bag0PaZ04jTYb9WY0LtKYjY6jq0qeWts8pE),http://tandemcap.com/,Tandem Capital III,SF Bay Area/Silicon Valley,
Techstars Ventures,dsrppikuuefczpjclubm.png (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/DehNf5zELLly1KVR4FYEGA/aTDyPBjvfxlP3DNErO5KscUmmkw_G0V1eZOOI9hCgdTv_juGSyeG-4Dpoy4v0mlzkRzLDhb1esAbgESN5i829mp313siadY0aTobexhYKd96DYDS3hNARoMMXNtXpBMy/XwPbepz2w-Zy52fENoA-RX2cKqcgakvomffQpCbKEFI),http://techstars.com/ventures,Techstars Ventures III,"""Boulder, CO""",
TenOneTen,d205e6c3d322c1544c0fa3109e9b1ea7.png (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/5TcU52qSMQcxbh42lRJlOg/G2Vrh0JWzHEDfe__EZ8rT8antzNj1gdT2RdJBsdynUhE1LwAH3RnI4MY2mnbtSJYfStCoAaMr8LHXPDfMRr6DtONgxHkrIVXj35Neevmc0H65-hKFnB2oBXS8EQV8wTf/HBfzwlIpg8s4JpsxX1XfbgRNHyjGXkAN2tbdre31jrM),http://tenoneten.net/,TenOneTen I,Los Angeles,
Thrive,vxbny8b3elsusdxbiap3.jpg (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/Ylzs1yVaW0YON13ax_RZwA/Pw84yl5NgY2VFXowLu1dOro3-l0K5RBQMz3YZctJw4oAQWmUnqke81Mj9IAmu7cb8Pg_q0KS7qiG5nLD8MV-4I86eFZ06oA_wbMmU06kM_66sSFRQbqfaa1avlYyHcaR/e7n3AyaHaSbkj5MCaaBj-G8WOryEEqXBDudWFOU9bA8),http://thrivecap.com/,Thrive III,"""New York, NY""",
TLV Partners,fngwm7xndkqyeegesypu.png (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/gAVn_3blcJzHb93nTDY_tw/sSHHIXGcFZdsVbuoqpeo0iXe-6-ZZZ8zhlnKOkINd_zOpYy-RSKg5WMpWJUqjompTRD6FiH1g7TdMxwFbNXbXsb1Z12qHVLRglmlJDM9iME1iY989WTk6qkmX7rhsdcF/x2ZmiJPAynbBA--c_Rwc6B9lC7eShBxWT2to-MPkPY4),http://www.tlv.partners/,TLV Partners I,Tel Aviv Metro Area,
Tribeca Venture Partners,zzajkx36s50mz8vi0vkk.jpg (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/MGwnYkl_3YXRa13XiBal9g/9Jfik6obo6mpmieBi_Rp3L7XkvmAyDi2DZnvi-xNPfn0NL6-3Vj0Pbjqlw6b6NhFW_-MjeQXhjPExtjvNNnknmZ1TQxq4CLN-AuJm-FSB3DBON2MPRmGBW16lAlHE9O0/uvpKx4gpom1xNxMB-ndWENPIo0otWGUtRWRtmNt9vRA),http://www.tribecavp.com/,"Tribeca Venture Partners II,Tribeca Venture Partners I","""New York, NY""",
Tullis Growth Fund,ea137b479c53179ba2f9bcf9814dea3b.png (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/hFj7gm5hy9d_0KvWdsitBQ/I5iQ2Afieo58R5jmtqx0bAFWz70rf7GQEf7_-mZ77Uc8tuLFYpQ6HL8p3jbqLrZffX527iT_iaVt8y29PsxfYhsDMySXtEd3c2lzLabFSGKPfv0wkkuol2c6ukE7Bctl/PSDLD5kiKNbt8V8GDoTF3DhB7p9bu8q0VJS_VBz6JfE),http://www.tullisfunds.com/funds/tg-tullis-growth,Tullis Growth Fund I,"Beijing,""Greenwich, CT"",""Palm Beach Gardens, FL""",
Twilio Fund,a11a490b6bd05d843b4371f580b93f11.jpg (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/6rvGQ5OHjlfC1kKhNEQmUg/aLn4cW56yXlQY4D_Bg4r1zmu6NKl-BAUP6jhZoIhdkRIup56_wfr3F0-qsGfXuhjfNyx8h3aBsDMZy0GLUW0ymXcNoiNrW71bR1Cv3svr32tmf2hl0Itt76OdYWul6Ng/hThY4sfXllpvgcZS2PFponOek6SsblW0n97YSgL7CaQ),https://www.twilio.com/fund,Twilio Fund I,SF Bay Area/Silicon Valley,
Underscore,rnhu3gcavgubznak04vk.png (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/qwCKHhS__KzdSezF58aVnA/YmIjUzrLiecc9qLYwOJczqMzciwz42rWWGrg-pjQxngYjwihjoRfzcRm8mKw9MTS6Jnu81uBWD5bJE5axdA4QGMi2g-hntrJI7QyavwJ5RBLDlNxvyOoNhxQWOfJYX-o/d144hXYFxo4favYc1mPbPLpz4K9fwCmhM21sjNt_iaw),http://www.underscore.vc/,Underscore I,Boston/Cambridge,
Union Square Ventures,vt0qjg347v6gall2hmeb.jpg (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/aO-Rl9oYQN825Zy6r5g5Tg/tj2cJ1ctpDaTj5BkwIIotBF3nId-W4a7Tr5U28HmTuNXDgVdZHjd0A5QB9pyIFqICYjexr36WdAZDHCviYeS4OodRjxU5FCJz_58Ys97ahUOvi712UsxFRQEHLpj7DDN/oA6M9a3snEDUpCcx5LWR2jf_p_NnBjVNKkaymld2dqM),http://www.usv.com/,"Union Square Ventures V,Union Square Ventures IV,Union Square Ventures IV,Union Square Ventures III,Union Square Ventures II","""New York, NY""",
Unshackled,kw3dsmzg8gql7vamx6ya.png (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/8ACdNcMgOcFaO2Pt7-mOug/uPNKqrFxLlhy8dUTfou1uMmwxqLuMb3EoIiUBcDXhZO6UueziA09Qwb9MnJAPC8bn_cUsb2fS2uUUQMa4kS7eD9YsJi4DLXh4rgUzB1cvKlxDABWj2GQYURsABG_tgLe/9b9hs5KnJQDkc7Hc7CL23IpwGWRaZS1DhFYIZ1BPOdI),http://unshackledvc.com/,Unshackled I,SF Bay Area/Silicon Valley,
Upfront,8647fd890a54e10bd320ada2651040c5.png (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/H9TPb9VWZJ5euEyGqZhMuQ/pY1RwC2TKDcMyxydWJjR0RhpGbOFKVKrKz_W2pTo8Qwb9o7LRmxWm2xVxrNLuvDbGAwXUXYRsl6Pe2Wmbz5w2s75ZTIWSAbHJDVhHttVm2W94d5BOST9DGgnidDI6e7h/ZI2mEhGtP86ZCclN9CYVUUMWPwh-anlO3b75En5o5fg),http://upfront.com/,Upfront IV,Los Angeles,
Upside Partnership,xxksxcjcwo8nqeaxmzx3.png (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/DK9-P3S0jQ_Q7MKlOrheaQ/aIvLLkpk234NealmX06CxDVe5M3qG-eFnJvyYeRPXAK2bZXS5HnvfEB4n2PbWZ4Pn2m0sGcb_AaMoClj4KYhoxYUWJhES24wOkKBbix6Rw5mi6JAHA61PHbUgQ8_wUVZ/mJ1fqSjnILEoIVkWqcggBko7M2DYY8en0oLVkcwyWSI),http://upsidevc.com/,"Upside Partnership II,Upside Partnership I",SF Bay Area/Silicon Valley,
Vayner/RSE,mojwshldpnj7zh3hcrau.png (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/zNUliFWbX97peLpls9ErgA/VLUD62aGFwGLaEfuiAw80BJXyPbgkSgo9EdgSk6V-7Roq3DZ4w3r-Ci6oWE1DPdwhKvGpCgqz3pEWY0rYR0y0oBxbzUCYMIf65117O4QoPCoOIQm02UHdiinU6k6TGTH/BORqr0plq070NWjeEsnH4HCXlzIUMa4BSBmWtd7s75A),http://vaynerrse.com/,Vayner/RSE I,"""New York, NY""",
VTF Capital,mxpa3opnnapqvvmcfhjr.jpg (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/EwysJJe6RUgST6Hb3phLcQ/oRnI5Ce4lZDt-MBacIGTt0YJc0A-c9JaPtwiPPnF-4ua2YSGDWGVGcSHtwsdnfmb7mXiZYfSwxFKit4DFQaIQjdMGM0TTS5Wr2LtqHSKfeW-JBCJKzXoatZEUVXwpH1R/SLWsktvezjvWLVPJ9aSOpuYvARGGzxct5fyYRx6t5co),http://vtfcapital.com/,VTF Capital I,Las Vegas,Formerly Vegas Tech Fund
Velos Partners,bbbd974579342a0699cf3159242a044b.png (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/I6E0oWQQ2VONht8NFnQWLQ/owqdpx0RUEsMMbVXyA6vGXi7kXGHsW_VvMraTmgHhhURpPEQMlPsxDV2I35O_CsuGula2zTyL8Q6USbfqYCzm7c5jalwixANZ61FrRp2ZSwSfDh2oJXluLqKTQJUaATB/J1bARSm9Dc6zVpjn0fw0-o4_IJBlZBjWx-4mnoiWTYU),http://www.velospartners.com/,Velos Partners I,Los Angeles,
Version One Ventures,f87799370e7476d4da670d7af135eebb.png (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/coijfjogi5_S37QIv8ZpvQ/tBZTs3cunFX9gZreBLQWcjVssZgDu-RzHr7TWjFoRmPdlwdwGVsyJI8lfvHTots5sLOXI_Crm6NO6CjVhp7b40b3ChZa_GcgYQ22qsBqPoMauO8UQmhmpFeuRymBhgKO/QiSUVXd9oScwRXeORjuHHx0NA0yRrLkHtzeMuDVPvq0),http://versionone.vc/,"Version One Ventures II,Version One Ventures I",Vancouver,
Westly Group,dc1ee6850578def24dbe5d3a4f1941e3.png (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/PwBG5uNf8JcPrgvqjs8zYA/xfVRFZcWRIScL0H5Vk2SL4_9R4-XkiN7_CTf9G7hDleO3eYUry2bAuxThOGU2mkPqJza_ov7NLUV_tHt34le8AOOQnNmqh4y7btYiiDWtMdGI0l2zSAHmfLkEsrQKdr-/_BYdEnR25LT94cHQNh89icPNjy_QFFtLVFvwV9Grb_c),http://www.westlygroup.com/,Westly Group II,SF Bay Area/Silicon Valley,
White Star Capital,hcw35ep4xvtw0inw6yse.jpg (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/UXoo5GfONI9t3xHDppb4WA/RJGCfiOQJfOtawPEynxfGMvW8A1lWpU4l1GbIT0HJxJmtEEXeWYgtn3yqQgy0NrGYju0HEIE47sOxp2sCQPmRTzMvtCtpyF8we7yMXr2MHNI7RAZkt9LKvyp6NyCEqLM/O_vhs3BFm6DRrHOEoHCxm3K8tInK26dtnU4zGt4KW8M),http://www.whitestarvc.com/,White Star Capital I,"""New York, NY"",London,Montréal",
WI Harper Group,logo.png (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/U-RaH1o9B0hCS5iaIiO3gg/e77tl78D0s8mNS-3ZVF-UdcWLqcDG7dGsvruW-IFf79mt9lFEPK2TRTYn4-qY4FmCCaq31U-TExcWUF0QwKowhtT0haz7KhNIA5umqUA0S0/H2AjN-b7-ddrKv4yKdy6fpXtuH3vpewT0754yAhybyw),http://www.wiharper.com/,WI Harper Group VIII,"SF Bay Area/Silicon Valley,Beijing,Taipei",
WindSail Capital,aacec93ebdb4feda2606eed89b87938b.png (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/rRJfjFabbvW3BbBkz03cqQ/CDfDIcfojOzE0cLFcb7N8FWpfQe25b62WmjPB2OwqlPFPOuvIs5B2TzL53y16BCGHjfaPAx93dEpTIFgPAsm1zuPwNQmZvyEIB9Sd7psi4r6vIWQLukfSnWCkN9hDMx7/_MTQEK9WRR7nMXtopvqOz9ltDPTV2QbHMZWD_QbTNuY),http://windsailcapital.com/,WindSail Capital I,Boston/Cambridge,
Wing Venture Capital,5ec4bd8b0bd1de122ce94b9993fbdf2e.png (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/ZMmCXBylFOs1EWudBn5ZMQ/2fINZvx3NLfoLfi_Sr-LJ6PltlKgyg8IvFA8HFmkKgBjPmPvPtro2kSA6OiJgcFtlR0k77vyzRFWy5LbDGS9QDIMsaE7crnHCqy73F56bhJ-WLOddQmlUrSWs6jeN__e/pDpvNcB2qvqPHMlb_9MNmvpUoViIHuEKzdQCmvkImB4),http://wing.vc/,Wing Venture Capital I,SF Bay Area/Silicon Valley,
Work-Bench Ventures,4317ffa86e35706a3436c5d7b2b4abd7.png (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/q6rnm2eEx1mp6mIEIU8FpA/m3db41AyhPHjdRbGS366b17NhpzGzENmMLe00Tkw8f0D0VMro2WnMdsFu5nFlACDA3OMG7O5fxuivvGbr5RFpGtgQR4cuF5DJeJ5LF7fw_0io6QN8-z-gJxq36lMJird/3LCon41RYO0lw7WfXfxmp8b_moPEJqCvNTKil42BfWs),http://work-bench.com/,Work-Bench Ventures I,"""New York, NY""",
xFund,cfo9fy3wpyedprzzv3kg.png (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/SpsY8iyr7_GUBbX61WZCOA/ONdM0OpbG4Q0Bw63fLiIfzR6Lsgh9Kg-mlZEGQPp6QKcu6SsdR-Y6jd8d5loyAovknEcopYw4LW-gF0iXoOYpe-PDWtiVJF7dJE5Sqcf7uHIhmB44eIbHTNDB5xXh7OF/PhO6QDEruOg1ZTelMnzZ6M11LAVv1FNP_DLSE-f8VYg),http://xfund.com/,xFund II,"Boston/Cambridge,SF Bay Area/Silicon Valley",
YL Ventures,55a03e66cf8212d65726740b416f14a2.jpg (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/Hsv7PVd1nwLx0-ZcoZBVrQ/QzxxlnPKN5xWJT-kLmR7sOpnOqZq_teMpJWxv62nabnNuo_LBxs5Qh-Obr-RA_PEbeAwKI5xF1B4R8Ly_i1SvzIs1xrZODW6PoaRbgEus4-o6aJzSLVVIqf8Ql-3le3Y/lPihNEtzi3drQyWztfEVoPcowgSYv2NWFDiMSTOgAMQ),http://www.ylventures.com/,YL Ventures II,"Tel Aviv Metro Area,SF Bay Area/Silicon Valley",
Zetta Venture Partners,r3skqe9nezeytlb2oigs.png (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/VVK6RBRPIAuGCN9dNM-EpA/aCFC7UEQQD9Op9MwDlAxBHDZNcgt3lIz6ElL48vDwMPc7bULSxk0YjqkL1o57tFQZvE3NsDRZPvJErj0ef_e0SKnL68_Bn_jPmMGB7zDtmCMeRDJlHr3zPxU6KSwYpXF/eb17TvBBtKHh168KuNdVALFRijsg286cxzOvlB6vi80),http://www.zettavp.com/,"Zetta Venture Partners II,Zetta Venture Partners I",SF Bay Area/Silicon Valley,
